date,E-Today(KWH),A0-Grid over voltage,A1-Grid under voltage,A2-Grid absent,A3-Grid over frequency,A4-Grid under frequency,A6-Grid abnormal
2025-06-15,53,2.0,2.0,2.0,2.0,2.0,0.0
2025-06-16,47,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-17,49,0.0,2.0,2.0,2.0,2.0,0.0
2025-06-18,53,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-19,53,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20,34,6.0,0.0,0.0,0.0,0.0,0.0
2025-06-21,33,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-22,37,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-23,48,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-24,49,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25,31,2.0,6.0,8.0,2.0,6.0,0.0
2025-06-26,9,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-27,26,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-28,44,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-29,42,0.0,2.0,2.0,2.0,2.0,0.0
2025-06-30,40,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,50,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-02,19,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,52,2.0,0.0,0.0,0.0,0.0,0.0
2025-07-04,42,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-05,44,2.0,4.0,4.0,4.0,4.0,0.0
2025-07-06,17,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-07,28,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-08,44,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-09,31,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-10,18,2.0,0.0,0.0,0.0,0.0,0.0
2025-07-11,42,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-12,57,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-13,36,0.0,2.0,2.0,0.0,2.0,0.0
2025-07-14,43,0.0,2.0,2.0,2.0,2.0,0.0
2025-07-15,26,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-16,48,6.0,0.0,0.0,0.0,0.0,0.0
2025-07-17,20,18.0,0.0,0.0,0.0,0.0,0.0
2025-07-18,50,0.0,4.0,4.0,4.0,4.0,0.0
2025-07-19,52,0.0,2.0,3.0,2.0,2.0,0.0
2025-07-20,50,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-21,39,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-22,27,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-23,6,0.0,2.0,2.0,2.0,2.0,0.0
2025-07-24,40,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-25,50,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-26,47,2.0,0.0,0.0,0.0,0.0,0.0
2025-07-27,48,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-28,48,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-29,50,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-30,45,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31,43,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,46,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-02,56,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-03,55,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-04,47,4.0,0.0,0.0,0.0,0.0,0.0
2025-08-05,42,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-06,51,0.0,4.0,4.0,0.0,4.0,0.0
2025-08-07,28,2.0,0.0,0.0,0.0,0.0,0.0
2025-08-08,41,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-09,49,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10,38,0.0,2.0,2.0,2.0,2.0,0.0
2025-08-11,46,2.0,0.0,0.0,0.0,0.0,0.0
2025-08-12,39,0.0,2.0,2.0,2.0,2.0,0.0
